item_id,user_gender,img_ref,page_ref,temp_min,temp_max
1,M,https://m.media-amazon.com/images/I/81NqGh7VWIL._SX700_.jpg,https://www.zappos.com,23,50
2,M,https://m.media-amazon.com/images/I/81D41CrEBNL._SX480_.jpg,https://www.zappos.com,23,50
3,M,https://m.media-amazon.com/images/I/81GAh32wSDL._SX480_.jpg,https://www.zappos.com,17,22
4,M,https://m.media-amazon.com/images/I/91HODqXAwqL._SX700_.jpg,https://www.zappos.com,23,50
5,F,https://m.media-amazon.com/images/I/71rOg-ugMrL._SX700_.jpg,https://www.zappos.com/p/sanctuary-uptown-tee-pottery/product/9041853/color/105670,23,50
401,M,https://images.lvrcdn.com/BigRetina69I/L6V/004_3a17b65f-9d03-4a1d-99a7-3b15ac626b8b.JPG,https://www.luisaviaroma.com,12,22
402,M,https://images.lvrcdn.com/BigRetina69I/3J5/017_50618bb1-ab8f-49b3-85b0-0e6804e1fa6a.JPG,https://www.luisaviaroma.com,20,40
403,M,https://images.lvrcdn.com/BigRetina70I/H0Y/008_d1a5129f-c6f1-4281-82c1-2f51f5f23a9f.JPG,https://www.luisaviaroma.com,20,32
404,M,https://images.lvrcdn.com/BigRetina69I/X00/001_33da879c-ea34-4b39-a695-8aaf9463758b.JPG,https://www.luisaviaroma.com,15,18
405,M,https://images.lvrcdn.com/BigRetina69I/XBC/006_09a51c8b-f5dd-4343-9f12-809ee6d46458.JPG,https://www.luisaviaroma.com,12,18
406,M,https://images.lvrcdn.com/BigRetina69I/LFC/015_8a24b207-7601-4c7a-b696-ad404bbe1615.JPG,https://www.luisaviaroma.com,6,13
407,M,https://images.lvrcdn.com/BigRetina69I/XAN/015_2aae94e7-53cb-4708-b2e3-25e834ceb150.JPG,https://www.luisaviaroma.com,8,18
408,M,https://images.lvrcdn.com/BigRetina68I/GE8/008_ce030654-c147-4322-95f1-96fbd175108e.JPG,https://www.luisaviaroma.com,5,14
409,M,https://images.lvrcdn.com/BigRetina69I/X5O/001_05093bb7-fd99-4319-881b-012eff6beaae.JPG,https://www.luisaviaroma.com,6,13
410,M,https://images.lvrcdn.com/BigRetina68I/25Z/043_ea3fe66c-2051-4c86-ba79-0f9225a3f91b.JPG,https://www.luisaviaroma.com,6,13
411,M,https://images.lvrcdn.com/BigRetina69I/3JI/006_1bb65eec-fd19-4ba1-b6d5-5ba7abec4edd.JPG,https://www.luisaviaroma.com,15,18
412,M,https://images.lvrcdn.com/BigRetina69I/GZU/023_cecf5bfb-19f4-4278-9ef5-daa778320f48.JPG,https://www.luisaviaroma.com,14,19
413,M,https://images.lvrcdn.com/BigRetina69I/WL9/011_be03ed8c-d344-4b6e-844c-0860c3df8ea4.JPG,https://www.luisaviaroma.com,10,18
414,M,https://images.lvrcdn.com/BigRetina69I/DND/001_7d07d68a-d15a-4c7b-b81b-0fa68365e513.JPG,https://www.luisaviaroma.com,22,40
415,M,https://images.lvrcdn.com/BigRetina69I/LEX/007_51596520-4a14-4924-9bc5-3eae507459e4.JPG,https://www.luisaviaroma.com,10,18
416,M,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/182607M202017_1.jpg",https://www.ssense.com,15,19
417,M,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191607M202012_1.jpg",https://www.ssense.com,15,19
418,M,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191607M204011_1.jpg",https://www.ssense.com,15,19
419,M,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191607M204001_1.jpg",https://www.ssense.com,16,20
420,M,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191607M201005_1.jpg",https://www.ssense.com,14,18
421,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/192669F110002_1.jpg",https://www.ssense.com,17,50
422,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/192669F097010_1.jpg",https://www.ssense.com,13,17
423,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191669F109006_1.jpg",https://www.ssense.com,16,20
424,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191669F060001_1.jpg",https://www.ssense.com,15,18
425,M,https://img.shopstyle-cdn.com/sim/9c/1f/9c1fd1ae3ca5f63951ad8511eb30613f_best/Volcom-Fowler-Ls-Tee.jpg,https://www.shopstyle.com,14,20
426,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191669F057001_1.jpg",https://www.ssense.com,8,15
427,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191893F100001_1.jpg",https://www.ssense.com,10,16
428,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191943F111004_1.jpg",https://www.ssense.com,14,22
429,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191476F059003_1.jpg",https://www.ssense.com,8,17
430,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191342F067001_1.jpg",https://www.ssense.com,6,12
431,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191278F111001_1.jpg",https://www.ssense.com,16,40
432,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191278F109003_1.jpg",https://www.ssense.com,16,40
433,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191784F107002_1.jpg",https://www.ssense.com,16,40
434,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191278F067002_1.jpg",https://www.ssense.com,2,10
435,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191542F111014_1.jpg",https://www.ssense.com,26,50
436,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191542F111011_2.jpg",https://www.ssense.com,26,50
437,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191542F111015_1.jpg",https://www.ssense.com,23,50
438,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191542F110006_1.jpg",https://www.ssense.com,16,26
439,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191714F111007_1.jpg",https://www.ssense.com,22,50
440,F,"https://img.ssensemedia.com/image/upload/b_white,c_lpad,g_center,h_960,w_960/c_scale,h_680/f_auto,dpr_2.0/191338F055001_1.jpg",https://www.ssense.com,16,32
100,F,https://images-na.ssl-images-amazon.com/images/G/01/Shopbop/p/prod/products/seaaa/seaaa2058087526/seaaa2058087526_q1_1-0.jpg,https://www.shopbop.com,27,50
101,F,https://images-na.ssl-images-amazon.com/images/G/01/Shopbop/p/prod/products/freep/freep4282511906/freep4282511906_q1_1-0.jpg,https://www.shopbop.com,25,50
102,F,https://images-na.ssl-images-amazon.com/images/G/01/Shopbop/p/prod/products/twang/twang4011910495/twang4011910495_q1_1-0.jpg,https://www.shopbop.com,25,50
103,F,http://s7d2.scene7.com/is/image/PoloGSI/s7-1204932_lifestyle?wid=2000&hei=2000,http://www.ralphlauren.com/product/index.jsp?productId=85888716,12,19
104,F,https://res.cloudinary.com/ssenseweb/image/upload/b_white/v599/162129F100001_1.jpg,https://www.ssense.com/en-us/women/designers/acne-studios,12,19
105,M,https://asset1.surfcdn.com/deus-ex-machina-shield-ss-tee.jpg?w=1200&h=1200&r=4&q=80&o=03i6LbZw2SdROLrL@KzVuwSKxykj&V=YMj1,https://www.shopstyle.com/p/deus-ex-machina-shield-ss-tee/616205026?pid=uid496-33548636-99,24,50
106,M,https://img.shopstyle-cdn.com/sim/41/2e/412e99cf34b624ff3a8085147bc0fdcf_best/Volcom-Warren-Jacket.jpg,https://www.dressbyweather.com/127.0536779/37.5064493/m,12,18
107,M,https://asset1.surfcdn.com/volcom-fowler-ls-tee.jpg?w=1200&h=1200&r=4&q=80&o=$$UZE2c9PhBwpgCjj1aRD5ARpTAj&V=nDKG,https://www.shopstyle.com/p/volcom-fowler-ls-tee/616228436?pid=uid496-33548636-99,19,22
108,M,http://s7d2.scene7.com/is/image/PoloGSI/s7-1198129_lifestyle?wid=2000&hei=2000,https://www.ralphlauren.com/product-archive/checked-twill-sport-shirt/352871.html?productId=90231336,19,22
109,M,http://s7d2.scene7.com/is/image/PoloGSI/s7-1177304_lifestyle?wid=2000&hei=2000,http://www.ralphlauren.com/product/index.jsp?productId=68419916,19,22
110,F,https://is4.revolveassets.com/images/p/fw/z/GIVE-WO41_V1.jpg,https://www.fwrd.com,19,22
111,F,http://s7d2.scene7.com/is/image/PoloGSI/s7-1196456_lifestyle?wid=2000&hei=2000,http://www.ralphlauren.com/product/index.jsp?productId=79163076,19,22
112,F,https://images-na.ssl-images-amazon.com/images/G/01/Shopbop/p/prod/products/joiea/joiea4193063749/joiea4193063749_q1_1-0.jpg,https://www.shopbop.com,19,22
113,F,https://is4.revolveassets.com/images/p/fw/z/ELSM-WK2W_V1.jpg,https://www.fwrd.com,12,19
114,F,https://is4.fwrdassets.com/images/p/fw/z/BURF-WS7_V1.jpg,https://www.fwrd.com/product-burberry-/BURF-WS7/?d=Womens,21,24
115,F,"http://qvc.scene7.com/is/image/QVC/a230521-4?qlt=95,1&op_sharpen=1&id=PC7lp3&fmt=jpg&fit=constrain,1&wid=600&hei=533&qlt=95,1&op_sharpen=1",https://www.thehunt.com/finds/oWrJVA-joan-rivers-all-about-color-water-resistant-trench-coat---qvc-com,9,12
116,F,https://is4.fwrdassets.com/images/p/fw/z/CLOE-WS124_V1.jpg,https://www.fwrd.com/product-chloe-persian-print-top/CLOE-WS124/?d=Womens,26,50
117,F,https://is4.revolveassets.com/images/p4/n/z/AYNR-WK25_V1.jpg,https://www.revolve.co.kr/,14,19
118,F,http://s7d2.scene7.com/is/image/PoloGSI/s7-1195574_lifestyle?wid=2000&hei=2000,https://www.ralphlauren.com/product-archive/draped-striped-cotton-sweater/325525.html?productId=81245566,14,19
119,F,https://is4.fwrdassets.com/images/p/fw/z/STAD-WS14_V1.jpg,https://www.fwrd.com,26,50
120,F,https://is4.fwrdassets.com/images/p/fw/z/CLOE-WS121_V1.jpg,https://www.fwrd.com/product-chloe-/CLOE-WS121/?d=Womens,21,24
121,F,https://is4.fwrdassets.com/images/p/fw/z/ANUI-WK34_V1.jpg,https://www.fwrd.com/product-alanui-/ANUI-WK34/?d=Womens,14,19
122,F,https://is4.fwrdassets.com/images/p/fw/z/JILS-WK13_V1.jpg,https://www.fwrd.com/product-jil-sander-/JILS-WK13/?d=Womens,14,19
123,F,https://is4.fwrdassets.com/images/p/fw/z/AUNF-WK6_V1.jpg,https://www.fwrd.com,14,19
124,F,https://is4.fwrdassets.com/images/p/fw/z/AUNF-WS19_V1.jpg,https://www.fwrd.com,21,24
125,F,https://is4.fwrdassets.com/images/p/fw/z/ANUI-WK31_V1.jpg,https://www.fwrd.com,12,17
126,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191001M177010_1.jpg",https://www.ssense.com/en-us/men/product/diesel/black-denim-bray-jacket/3651009,17,20
127,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191129M177005_1.jpg",https://www.ssense.com/en-us/men/product/acne-studios/pink-and-blue-bla-konst-denim-1998-jacket/3467129,15,18
128,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191129M177002_1.jpg",https://www.ssense.com/en-us/men/product/acne-studios/blue-bla-konst-denim-1998-jacket/3467099,15,18
129,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191129M192009_1.jpg",https://www.ssense.com/en-us/men/product/acne-studios/blue-bla-konst-saira-shirt/3467209,26,50
130,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191129M204011_1.jpg",https://www.ssense.com/en-us/men/product/acne-studios/yellow-febo-loops-sweatshirt/3462149,14,19
131,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191129M180009_1.jpg",https://www.ssense.com/en-us/men/product/acne-studios/grey-ollys-jacket/3492409,15,18
132,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191129M180004_1.jpg",https://www.ssense.com/en-us/men/product/acne-studios/grey-orton-jacket/3461329,15,18
133,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191129M180007_1.jpg",https://www.ssense.com/en-us/men/product/acne-studios/beige-knit-komber-jacket/3461769,12,17
134,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191387M192017_1.jpg",https://www.ssense.com/en-us/men/product/kenzo/blue-logo-casual-shirt/3569379,21,24
135,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191387M192009_1.jpg",https://www.ssense.com/en-us/men/product/kenzo/blue-and-red-oversized-flying-phoenix-shirt/3562339,26,50
136,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191387M175003_1.jpg",https://www.ssense.com/en-us/men/product/kenzo/blue-jumping-tiger-bomber-jacket/3576429,15,18
137,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191387M204013_1.jpg",https://www.ssense.com/en-us/men/product/kenzo/black-embroidered-logo-sweatshirt/3565509,21,24
138,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191387M212005_1.jpg",https://www.ssense.com/en-us/men/product/kenzo/blue-openwork-knit-polo/3562879,26,50
139,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191387M202010_1.jpg",https://www.ssense.com/en-us/men/product/kenzo/grey-tiger-hoodie/3568869,15,20
140,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191551M213005_1.jpg",https://www.ssense.com/en-us/men/product/miharayasuhiro/navy-slit-t-shirt/3600439,26,50
